dm92	dm2397
dm4972	dm2374
dm4972	dm2393
dm4972	dm246
dm94	dm2377
dm94	dm4280
dm94	dm12325
dm11588	dm2495
dm99	dm2374
dm4975	dm11465
dm10591	dm11855
dm10591	dm5604
dm5160	dm1519
dm5160	dm8936
dm2478	dm10109
dm2478	dm519
dm6032	dm3298
dm2558	dm3522
dm3911	dm5070
dm3917	dm11465
dm2352	dm3957
dm11679	dm11314
dm11679	dm6800
dm3009	dm9081
dm5981	dm2491
dm6989	dm797
dm10109	dm8371
dm7587	dm5604
dm7587	dm12325
dm7581	dm3544
dm7581	dm3540
dm7581	dm2214
dm4173	dm10145
dm1185	dm2945
dm13037	dm3290
dm12611	dm8749
dm8100	dm3560
dm11465	dm5344
dm11465	dm4707
dm11465	dm247
dm11465	dm2235
dm11465	dm513
dm11465	dm12910
dm3581	dm8501
dm3581	dm8741
dm13965	dm3958
dm6210	dm11358
dm3765	dm3568
dm11336	dm8767
dm5531	dm2944
dm11333	dm10809
dm11333	dm534
dm1013	dm11819
dm2276	dm3522
dm2276	dm163
dm911	dm8377
dm911	dm3791
dm917	dm5604
dm12407	dm2872
dm2375	dm8951
dm2374	dm3290
dm265	dm2944
dm1883	dm10142
dm7871	dm9947
dm7871	dm7039
dm9082	dm8741
dm2961	dm2491
dm8501	dm241
dm3568	dm9574
dm3560	dm4096
dm7011	dm3704
dm12090	dm539
dm12091	dm4074
dm3700	dm12134
dm4280	dm1295
dm6924	dm3060
dm6924	dm11749
dm10809	dm8371
dm10804	dm3291
dm11318	dm246
dm11314	dm7381
dm11315	dm5604
dm5344	dm2214
dm4707	dm2233
dm3957	dm2213
dm9949	dm6244
dm5070	dm2393
dm5070	dm6674
dm5070	dm4131
dm5070	dm7993
dm2397	dm3791
dm241	dm11481
dm246	dm8951
dm247	dm7997
dm6673	dm12910
dm11819	dm2944
dm11819	dm1577
dm11819	dm3291
dm10142	dm7993
dm2944	dm3726
dm2944	dm8741
dm2945	dm12325
dm9577	dm513
dm2494	dm3291
dm3540	dm5058
dm7381	dm168
dm13433	dm3290
dm7039	dm6247
dm4402	dm2214
dm6809	dm12231
dm5209	dm1576
dm1576	dm11749
dm6244	dm2828
dm5058	dm13633
dm8951	dm8741
dm8371	dm7997
dm6012	dm2214
dm3290	dm8741
dm161	dm168
